Q2:	2

u	fQ	dfQ/du	fQ^2 + (dfQ/du)^2/Q2
0.0358463	0.996768	-0.140369	1.0034
0.0359697	0.996751	-0.140575	1.00339
0.0360934	0.996733	-0.14078	1.00339
0.0362172	0.996715	-0.140985	1.00338
0.0363413	0.996698	-0.141189	1.00337
0.0364656	0.99668	-0.141393	1.00337
0.0365901	0.996662	-0.141596	1.00336
0.0367149	0.996644	-0.141799	1.00335
0.0368398	0.996627	-0.142002	1.00335
0.036965	0.996609	-0.142204	1.00334
0.0370904	0.996591	-0.142405	1.00333
0.037216	0.996573	-0.142607	1.00333
0.0373418	0.996554	-0.142807	1.00332
0.0374678	0.996536	-0.143008	1.00331
0.0375941	0.996518	-0.143208	1.0033
0.0377205	0.9965	-0.143407	1.00329
0.0378472	0.996481	-0.143606	1.00329
